residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,Density,pH,sulphates,alcohol,quality
2,0.078,19,59,0.99612,3.3,0.48,7,5
4.5,0.068,20,110,0.99914,3.3,1.17,7,5
4.5,0.068,20,110,0.99914,3.3,1.17,7,5
2.9,0.079,7,22,0.99669,3.46,0.61,7,5
5.6,0.124,21,58,0.9997,3.46,0.72,7,5
5.6,0.124,21,58,0.9997,3.46,0.72,7,5
2.2,0.088,16,32,0.99756,3.58,0.67,7,5
1.5,0.08,27,119,0.9972,3.16,1.12,7.1,4
2,0.076,12,20,0.99546,3.29,0.54,7.2,5
2,0.076,12,20,0.99546,3.29,0.54,7.2,5
2,0.076,12,20,0.99546,3.29,0.54,7.2,5
1.8,0.095,25,99,0.995,3.35,0.54,7.2,5
1.8,0.095,25,99,0.995,3.35,0.54,7.2,5
2.4,0.089,17,82,0.9958,3.35,0.54,7.2,5
2,0.086,12,80,0.9958,3.38,0.52,7.2,5
2.2,0.076,19,40,0.9961,3.41,0.59,7.2,5
3.4,0.105,11,86,1.001,3.43,0.64,7.3,4
2.2,0.084,7,17,0.9984,2.18,0.67,7.3,6
1.7,0.049,5,13,0.9942,3.72,0.58,7.4,5
12.9,0.054,6,113,0.99572,3.3,0.56,7.5,4
3.45,0.088,4,14,0.9994,3.44,0.52,7.5,5
2.6,0.085,14,33,0.99965,3.36,0.8,7.5,7
3.4,0.084,6,11,0.99892,3.48,0.49,7.8,3
2.2,0.07,5,14,0.9967,3.32,0.58,7.8,4
4.4,0.096,5,13,0.997,3.41,0.57,7.8,4
3.9,0.123,14,31,0.9968,3.5,0.67,7.8,4
2.3,0.067,19,32,0.99648,3.52,0.57,7.8,4
2.6,0.077,8,20,0.99852,3.09,0.53,7.8,5
2.1,0.105,16,44,0.9958,3.13,0.52,7.8,5
2,0.101,13,49,0.9962,0.14,0.57,7.8,5
2.3,0.059,15,31,0.9966,3.15,0.57,7.8,5
2.2,0.11,11,37,0.99728,3.16,0.67,7.8,5
2.5,0.099,20,38,0.99818,3.24,0.71,7.8,5
2.5,0.099,20,38,0.99818,3.24,0.71,7.8,5
3,0.08,29,55,1.0001,3.26,0.88,7.8,5
2.4,0.069,26,46,0.99358,3.47,0.45,7.8,5
2.3,0.166,6,12,0.99551,3.56,0.51,7.8,5
2.3,0.166,6,12,0.99551,3.56,0.51,7.8,5
1.5,0.161,7,62,0.99395,3.62,0.61,7.8,5
1.8,0.09,20,47,0.99734,3.15,0.57,8.2,5
2.5,0.087,6,20,0.99772,3.15,0.5,8.2,5
2.2,0.114,7,20,0.99647,3.32,0.63,8.2,5
1.9,0.083,14,41,0.99532,3.34,0.47,8.2,5
1.7,0.067,8,20,0.99603,3.39,0.6,8.2,5
2,0.09,32,44,0.9949,3.45,0.58,8.2,5
1.8,0.082,15,34,0.99655,3.49,0.68,8.2,5
1.8,0.082,15,34,0.99655,3.49,0.68,8.2,5
7.8,0.079,6,12,0.9963,3.52,0.5,8.2,5
1.9,0.097,15,39,0.99675,1.37,0.58,8.2,6
2.2,0.049,38,67,0.996,3.33,0.93,8.3,5
2.1,0.2,5,16,0.9994,3.16,0.63,8.4,3
1.8,0.075,6,15,1.0008,2.86,0.79,8.4,6
2.2,0.096,3,13,0.99557,3.62,0.62,8.5,4
1.6,0.169,27,90,0.99914,3.15,0.65,8.5,5
4.5,0.107,5,13,0.998,3.28,0.83,8.5,5
2.6,0.332,8,14,0.9968,3.21,0.9,8.5,6
2.1,0.102,4,7,0.99462,3.44,0.58,8.6,4
2.8,0.075,5,19,0.9994,3.14,0.57,8.6,5
2.8,0.075,5,19,0.9994,3.14,0.57,8.6,5
1.8,0.058,9,18,0.99392,3.18,0.55,8.6,5
1.65,0.068,5,11,0.99478,3.19,0.46,8.6,5
2.2,0.065,28,52,0.99378,3.49,0.52,8.6,5
2.1,0.056,5,13,0.99472,3.52,0.56,8.6,5
1.6,0.073,7,11,0.99425,3.61,0.54,8.6,5
2.1,0.041,17,78,0.99346,3.68,0.73,8.6,5
1.7,0.049,5,13,0.9942,3.72,0.58,8.6,5
1.75,0.058,8,22,0.99322,3.38,0.49,8.7,5
1.6,0.056,11,25,0.9967,3.32,0.87,8.7,6
2.6,0.084,32,55,0.9988,3.34,0.75,8.7,6
4.3,0.057,11,20,0.99488,3.45,0.56,8.8,4
13.8,0.205,48,82,1.00242,3.16,0.75,8.8,5
13.8,0.205,48,82,1.00242,3.16,0.75,8.8,5
2.55,0.085,10,25,0.997,3.18,0.61,8.8,5
2.6,0.056,10,39,0.99562,3.4,0.69,8.8,5
2.6,0.053,13,27,0.99362,3.57,0.5,8.9,5
1.6,0.072,17,42,0.9956,3.37,0.48,9,4
3.9,0.068,15,29,0.99524,3.41,0.52,9,4
2.2,0.071,12,35,1.0006,1.1,0.56,9,6
2.2,0.071,12,35,1.0006,1.1,0.56,9,6
1.9,0.08,13,35,0.9972,3.3,0.59,9,6
1.9,0.08,13,35,0.9972,3.3,0.59,9,6
2.5,0.08,12,57,0.9978,3.3,0.47,9,6
2.3,0.065,7,37,0.99685,3.32,0.55,9,6
2.3,0.065,7,37,0.99685,3.32,0.55,9,6
2.5,0.226,5,15,0.9991,3.32,0.6,9,6
2.5,0.226,5,15,0.9991,3.32,0.6,9,6
1.9,0.097,14,38,0.99675,1.37,0.58,9,6
1.9,0.097,14,38,0.99675,1.37,0.58,9,6
1.9,0.081,14,38,0.9984,3.43,0.65,9,6
1.9,0.082,9,23,0.99585,3.39,0.43,9.05,4
3.7,0.104,29,94,0.99786,3.14,0.58,9.1,5
3.9,0.104,28,90,0.99784,3.15,0.57,9.1,5
2.2,0.072,11,41,0.9967,3.36,0.55,9.1,5
1.6,0.048,12,26,0.99306,3.55,0.51,9.1,5
1.8,0.413,9,26,0.9979,3.06,1.06,9.1,6
2.9,0.096,14,63,0.9984,3.17,0.62,9.1,6
3.4,0.076,34,85,0.99668,3.19,0.42,9.2,5
1.8,0.097,15,65,0.9959,3.28,0.54,9.2,5
7.8,0.073,29,79,0.9977,3.29,0.54,9.2,5
3.9,0.07,27,73,0.99669,3.32,0.48,9.2,5
1.6,0.077,25,42,0.99629,3.34,0.59,9.2,5
2,0.082,6,15,0.9988,2.94,0.66,9.2,6
2,0.082,6,15,0.9988,2.94,0.66,9.2,6
2.1,0.084,5,15,0.9987,2.98,0.7,9.2,6
1.8,0.341,17,56,0.9969,3.04,1.08,9.2,6
2.4,0.066,10,21,1,3.12,1.18,9.2,6
11,0.071,13,50,1.0015,3.16,0.69,9.2,6
2,0.073,6,18,0.9972,3.29,0.61,9.2,6
2,0.073,6,18,0.9972,3.29,0.61,9.2,6
2.7,0.069,13,34,0.9967,3.29,0.48,9.2,6
2.6,0.085,6,24,0.9984,3.31,0.59,9.2,6
1.6,0.089,14,37,0.99615,3.34,0.56,9.2,6
1.8,0.097,22,89,0.9959,3.34,0.54,9.2,6
2,0.088,23,48,0.9981,3.41,0.74,9.2,6
1.9,0.088,23,53,0.9981,3.43,0.74,9.2,6
2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7
2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7
2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4
1.7,0.368,16,56,0.9968,3.11,1.28,9.3,5
3.8,0.11,34,89,0.99664,3.24,0.45,9.3,5
1.4,0.08,11,23,0.9955,3.34,0.56,9.3,5
1.7,0.053,24,32,0.99402,3.54,0.6,9.3,5
2.3,0.082,11,22,1,3,0.7,9.3,6
2,0.059,6,24,0.9994,3.04,0.6,9.3,3
2.2,0.084,7,17,0.9984,2.18,0.67,9.3,3
2.5,0.063,6,25,0.9998,3.12,0.59,9.3,3
2.5,0.063,6,25,0.9998,3.12,0.59,9.3,3
3.6,0.071,6,19,0.9986,3.12,0.82,9.3,3
1.9,0.082,10,18,0.99774,3.22,0.65,9.3,3
2.5,0.097,7,31,0.9976,3.27,0.6,9.3,3
2.5,0.097,7,31,0.9976,3.27,0.6,9.3,3
2.5,0.093,19,58,1.0002,3.5,0.65,9.3,3
1.9,0.079,8,62,0.997,3.52,0.58,9.3,3
1.9,0.079,18,86,0.9968,3.59,0.57,9.3,3
2.1,0.061,12,31,0.9948,3.51,0.43,9.4,4
1.7,0.08,10,24,0.9982,3.2,0.89,9.4,6
2,0.08,11,27,0.9974,3.21,0.8,9.4,6
2,0.08,11,27,0.9974,3.21,0.8,9.4,6
2,0.08,11,27,0.9974,3.21,0.8,9.4,6
3.2,0.066,21,114,0.9973,3.22,0.54,9.4,6
1.9,0.171,6,25,0.9975,3.27,0.61,9.4,6
2,0.072,15,105,0.996,3.27,0.54,9.4,6
2,0.19,12,45,0.99676,3.31,0.6,9.4,6
2,0.082,24,58,0.9964,3.34,0.59,9.4,6
2.6,0.096,11,26,0.9994,3.35,0.83,9.4,6
2,0.076,30,47,0.99554,3.36,0.48,9.4,6
2.6,0.093,11,28,0.9994,3.36,0.86,9.4,6
2,0.082,7,28,0.997,1.37,0.5,9.4,6
1.8,0.077,29,60,0.9968,3.39,0.53,9.4,6
2.1,0.068,6,14,0.9955,3.39,0.64,9.4,6
2.2,0.069,8,15,0.9956,3.4,0.63,9.4,6
2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6
10.7,0.073,40,83,0.9993,3.45,0.52,9.4,6
2.1,0.067,9,23,0.997,3.47,0.67,9.4,6
3,0.077,7,27,0.9987,3.69,0.91,9.4,6
3,0.077,7,27,0.9987,3.69,0.91,9.4,6
1.6,0.05,32,96,0.9934,3.74,0.62,9.5,5
2,0.337,27,81,0.9964,1.04,1.61,9.5,6
3.2,0.094,17,53,1.0014,3.05,0.81,9.5,6
2.3,0.084,6,13,1,3.17,0.71,9.5,6
1.8,0.222,6,16,0.998,3.18,0.6,9.5,6
2.4,0.213,6,14,0.9994,3.19,0.62,9.5,6
2.4,0.214,5,12,0.9994,3.19,0.63,9.5,6
2.8,0.09,35,73,0.999,3.28,0.7,9.5,6
1.8,0.157,1,44,0.9973,3.3,0.92,9.5,6
1.8,0.157,2,45,0.99727,3.31,0.91,9.5,6
2.8,0.093,11,44,0.99888,3.31,0.55,9.5,6
3,0.091,12,48,0.99888,3.31,0.54,9.5,6
1.9,0.076,15,27,0.9967,3.32,0.54,9.5,6
2.8,0.093,19,98,0.99815,3.32,0.63,9.5,6
2.1,0.074,9,25,0.9958,3.33,0.56,9.5,6
2.5,0.08,26,86,0.9987,3.38,0.62,9.5,4
1.7,0.062,9,30,0.9968,3.41,0.53,9.5,4
1.9,0.078,29,66,0.9971,3.45,0.59,9.5,4
2,0.078,10,28,0.9983,3.45,0.78,9.5,4
2.1,0.066,8,25,0.9972,3.47,0.67,9.5,6
2.1,0.066,8,25,0.9972,3.47,0.67,9.5,6
2.1,0.066,8,25,0.9972,3.47,0.67,9.5,6
2.1,0.07,12,28,0.99768,3.52,0.73,9.5,6
2.1,0.07,12,28,0.99768,3.52,0.73,9.5,6
2,0.073,9,18,0.9968,3.36,0.57,9.5,7
1.9,0.085,12,35,0.9968,3.38,0.62,9.5,7
3.75,0.067,8,16,0.99334,3.43,0.52,9.6,5
2.5,0.114,14,46,0.9971,3.24,0.66,9.6,6
1.9,0.079,17,42,0.9972,3.31,0.54,9.6,6
1.4,0.074,5,20,0.9973,3.32,0.81,9.6,6
1.4,0.074,5,20,0.9973,3.32,0.81,9.6,6
1.8,0.067,26,46,0.9967,3.32,1.04,9.6,6
2.8,0.09,18,58,0.998,3.34,0.7,9.6,6
1.6,0.076,9,27,0.9972,3.36,0.7,9.6,6
2.5,0.091,18,80,0.9976,3.37,0.8,9.6,6
5.5,0.086,5,18,0.9986,3.4,0.55,9.6,6
2.4,0.091,8,38,0.998,3.47,0.66,9.6,6
2.1,0.071,12,31,0.99761,3.52,0.72,9.6,6
2.1,0.061,20,49,0.99705,3.31,0.55,9.7,3
1.6,0.078,4,14,0.998,3.29,0.54,9.7,4
1.4,0.065,24,33,0.9954,3.27,0.55,9.7,5
2,0.091,6,16,0.998,3.28,0.7,9.7,5
2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5
2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5
3.1,0.095,13,38,0.9998,3.28,0.59,9.7,5
2.1,0.066,13,30,0.9968,3.23,0.73,9.7,7
2.3,0.094,10,45,0.99864,3.24,0.6,9.7,7
1.2,0.267,16,29,0.99471,3.32,0.51,9.8,3
2,0.08,11,63,0.99652,3.29,0.48,9.8,4
1.5,0.172,7,19,0.994,3.5,0.48,9.8,4
3.3,0.096,26,61,1.00025,3.6,0.72,9.8,4
2,0.11,19,133,0.9972,2.93,1.98,9.8,5
2.2,0.084,11,108,0.9964,3.15,0.66,9.8,5
2.2,0.085,14,111,0.9964,3.15,0.66,9.8,5
1.7,0.094,10,45,0.99576,3.24,0.5,9.8,5
2.2,0.084,10,31,0.99656,3.25,0.5,9.8,5
2.2,0.084,10,31,0.99656,3.25,0.5,9.8,5
2.4,0.114,9,37,0.99732,3.66,0.65,9.8,5
2.4,0.114,9,37,0.99732,3.66,0.65,9.8,5
2.2,0.079,14,28,0.9982,1.03,0.93,9.8,6
2.2,0.08,17,88,0.99745,3.53,0.58,9.8,6
1.9,0.074,21,49,0.9974,3.57,0.62,9.8,6
2.3,0.082,12,29,0.9997,3.11,1.36,9.8,7
2.2,0.072,6,29,0.9987,2.88,0.82,9.8,8
1.5,0.145,34,48,0.99832,3.38,0.86,9.9,3
1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6
1.8,0.078,12,39,0.9977,3.5,0.7,9.9,6
2,0.084,6,23,0.9983,3.61,0.96,9.9,6
2,0.084,6,23,0.9983,3.61,0.96,9.9,6
1.9,0.074,10,21,0.9976,2.98,0.66,9.9,7
3.5,0.358,5,10,0.9972,3.25,1.08,9.9,7
1.8,0.078,6,12,0.996,3.55,0.63,9.95,3
2.1,0.06,6,13,0.99664,3.59,0.61,10,4
4,0.094,30,69,0.99787,3.22,0.5,10,6
1.6,0.062,13,33,0.9983,3.27,0.66,10,6
2.6,0.092,13,52,0.99834,3.22,0.64,10,7
1.2,0.065,15,21,0.9946,3.39,0.47,10,7
2.9,0.076,26,88,0.9984,3.08,0.57,10.1,6
2,0.067,12,27,0.9981,3.11,0.97,10.1,6
2.2,0.079,19,58,0.9991,3.18,0.56,10.1,6
2.7,0.077,6,31,0.9984,3.19,0.7,10.1,6
2.4,0.098,5,16,0.9964,3.41,0.6,10.1,6
6,0.115,5,11,0.9984,3.37,0.69,10.1,7
2,0.1,7,27,0.9967,3.2,0.56,10.2,6
3.1,0.079,28,46,0.9993,3.2,0.8,10.2,6
2.1,0.059,5,15,0.998,3.21,0.67,10.2,6
2.2,0.094,16,29,0.9962,3.21,0.49,10.2,6
2.6,0.073,10,26,0.9984,3.34,0.75,10.2,6
2.1,0.084,11,50,0.9972,3.4,0.61,10.2,6
2.3,0.074,12,30,0.9959,3.42,0.58,10.2,6
2.3,0.061,52,73,0.99786,3.47,0.9,10.2,6
1.8,0.071,6,10,0.9968,3.2,0.72,10.2,7
2.2,0.143,7,23,0.9964,3.35,0.65,10.2,7
2.1,0.114,3,9,0.99719,3.33,0.57,10.3,4
2.2,0.069,9,23,0.9968,3.3,1.2,10.3,5
6.1,0.083,7,49,0.99718,3.35,0.68,10.3,5
1.9,0.086,14,57,0.9969,1.37,0.46,10.3,5
2.1,0.07,9,23,0.99546,3.38,0.6,10.3,5
1.7,0.052,3,8,0.996,3.41,0.47,10.3,5
1.9,0.067,25,57,0.997,3.18,1.36,10.3,6
2.7,0.091,18,48,0.9994,3.22,0.64,10.3,6
2.8,0.07,4,15,0.99693,3.22,0.55,10.3,6
3,0.092,29,53,0.9967,3.37,0.7,10.3,6
2.4,0.243,5.5,48,0.99612,3.4,0.6,10.3,6
2.4,0.241,6,18,0.9961,3.4,0.59,10.3,6
2.1,0.078,1,28,0.999,3.41,0.87,10.3,6
2.1,0.078,1,28,0.999,3.41,0.87,10.3,6
1.8,0.069,18,61,0.9959,3.44,0.78,10.3,6
1.4,0.056,9,24,0.99695,3.22,0.82,10.3,7
2,0.099,19,50,0.99783,3.1,0.58,10.4,5
2,0.076,29,61,0.9953,3.34,0.6,10.4,5
2.4,0.088,13,35,0.9997,3.1,0.6,10.4,6
2.1,0.062,4,9,0.99584,3.35,0.54,10.5,5
6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5
2.2,0.09,13,62,0.9966,3.07,0.63,10.5,6
2.8,0.089,11,43,0.9975,3.53,0.61,10.5,6
1.4,0.073,23,42,0.998,2.92,0.68,10.5,7
2.6,0.059,5,13,0.9976,3.05,0.74,10.5,7
1.8,0.092,35,103,0.9969,3.3,0.75,10.5,7
2.1,0.054,7,19,0.998,3.31,0.88,10.5,7
5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7
5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7
1.8,0.065,3,16,0.9962,3.42,0.92,10.5,7
